사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
2호선,대림(구로구청),25995,26770,20231204,
2호선,신도림,55447,55057,20231204,
2호선,문래,25818,26561,20231204,
2호선,영등포구청,24517,25006,20231204,
2호선,당산,20266,23832,20231204,
2호선,합정,36748,41409,20231204,
2호선,홍대입구,74538,84106,20231204,
2호선,신촌,44520,46034,20231204,
2호선,이대,19184,20048,20231204,
2호선,아현,12304,11542,20231204,
2호선,충정로(경기대입구),11564,12393,20231204,
2호선,용답,3278,3259,20231204,
2호선,신답,1800,2031,20231204,
2호선,신설동,4007,4062,20231204,
2호선,도림천,1337,1490,20231204,
2호선,양천구청,7661,8125,20231204,
2호선,신정네거리,11444,11945,20231204,
2호선,용두(동대문구청),2825,2892,20231204,
3호선,지축,7784,7714,20231204,
3호선,구파발,23518,22607,20231204,
3호선,연신내,38070,36551,20231204,
3호선,불광,17782,18904,20231204,
3호선,녹번,17625,15795,20231204,
3호선,홍제,20324,19294,20231204,
3호선,무악재,4861,4667,20231204,
3호선,독립문,7991,7861,20231204,
3호선,경복궁(정부서울청사),27603,27602,20231204,
3호선,안국,28492,29709,20231204,
3호선,종로3가,11980,13947,20231204,
3호선,을지로3가,13882,14240,20231204,
3호선,충무로,1,0,20231204,
3호선,동대입구,12162,13046,20231204,
3호선,약수,15038,14419,20231204,
3호선,금호,8922,8173,20231204,
3호선,옥수,9547,9996,20231204,
3호선,압구정,36849,40326,20231204,
3호선,신사,33088,35378,20231204,
3호선,잠원,5789,5484,20231204,
3호선,고속터미널,56181,56150,20231204,
3호선,교대(법원.검찰청),20189,12091,20231204,
3호선,남부터미널(예술의전당),36063,35748,20231204,
3호선,양재(서초구청),45195,47731,20231204,
3호선,매봉,14520,13958,20231204,
3호선,도곡,5795,5940,20231204,
3호선,대치,13360,13240,20231204,
3호선,학여울,4782,4980,20231204,
3호선,대청,12544,11807,20231204,
3호선,일원,12994,12382,20231204,
3호선,수서,22483,21961,20231204,
3호선,가락시장,10628,10625,20231204,
3호선,경찰병원,8490,8259,20231204,
4호선,당고개,10502,9090,20231204,
4호선,상계,21535,20156,20231204,
4호선,노원,21702,26009,20231204,
4호선,창동,28663,29440,20231204,
4호선,쌍문,32291,30033,20231204,
4호선,수유(강북구청),38007,38583,20231204,
4호선,미아(서울사이버대학),17708,16903,20231204,
4호선,미아사거리,29795,29773,20231204,
4호선,길음,24587,24151,20231204,
4호선,성신여대입구(돈암),24805,23858,20231204,
4호선,한성대입구(삼선교),15811,15195,20231204,
4호선,혜화,41927,41864,20231204,
4호선,동대문,21738,21722,20231204,
4호선,동대문역사문화공원(DDP),20327,17329,20231204,
4호선,충무로,36028,37020,20231204,
4호선,명동,36563,39159,20231204,
4호선,회현(남대문시장),30403,31856,20231204,
4호선,서울역,14544,25538,20231204,
4호선,숙대입구(갈월),16579,16072,20231204,
4호선,삼각지,7411,8476,20231204,
4호선,신용산,22497,23885,20231204,
4호선,이촌(국립중앙박물관),9103,9777,20231204,
4호선,동작(현충원),1303,1388,20231204,
4호선,총신대입구(이수),21257,23528,20231204,
4호선,사당,31153,28339,20231204,
4호선,남태령,1575,1278,20231204,
5호선,방화,7613,7135,20231204,
5호선,개화산,6671,6267,20231204,
5호선,김포공항,10321,8091,20231204,
5호선,송정,7117,6638,20231204,
5호선,마곡,13542,13618,20231204,
5호선,발산,24533,25877,20231204,
5호선,우장산,16406,16097,20231204,
5호선,화곡,31876,29289,20231204,
5호선,까치산,30807,29733,20231204,
5호선,신정(은행정),15156,12230,20231204,
5호선,목동,18590,19830,20231204,
5호선,오목교(목동운동장앞),23911,25708,20231204,
5호선,양평,8588,8319,20231204,
5호선,영등포구청,5132,5169,20231204,
5호선,영등포시장,12518,12716,20231204,
5호선,신길,5227,5412,20231204,
5호선,여의도,33890,35642,20231204,
5호선,여의나루,12099,14130,20231204,
5호선,마포,17092,17890,20231204,
5호선,공덕,16744,17692,20231204,
5호선,애오개,7700,7591,20231204,
5호선,충정로(경기대입구),5173,5388,20231204,
5호선,서대문,23282,23369,20231204,
5호선,광화문(세종문화회관),37280,39702,20231204,
5호선,종로3가,15954,16119,20231204,
5호선,을지로4가,7277,7352,20231204,
5호선,동대문역사문화공원(DDP),3607,4163,20231204,
5호선,청구,4426,4175,20231204,
5호선,신금호,7277,7625,20231204,
5호선,행당,9096,7993,20231204,
5호선,왕십리(성동구청),5161,6124,20231204,
5호선,마장,6789,6325,20231204,
5호선,답십리,18212,16512,20231204,
5호선,장한평,21642,21504,20231204,
5호선,군자(능동),13231,14657,20231204,
5호선,아차산(어린이대공원후문),15561,14974,20231204,
5호선,광나루(장신대),15369,13993,20231204,
5호선,천호(풍납토성),21725,21712,20231204,
5호선,강동,20780,19826,20231204,
5호선,길동,9343,9719,20231204,
5호선,굽은다리(강동구민회관앞),10992,10573,20231204,
5호선,명일,10141,10466,20231204,
5호선,고덕,12178,11868,20231204,
5호선,상일동,16654,15709,20231204,
5호선,둔촌동,10121,10089,20231204,
5호선,올림픽공원(한국체대),7642,7063,20231204,
5호선,방이,8327,8832,20231204,
5호선,오금,4193,4208,20231204,
5호선,개롱,7506,7629,20231204,
5호선,거여,11813,11483,20231204,
5호선,마천,8674,7839,20231204,
5호선,강일,6340,5790,20231204,
5호선,미사,19465,19986,20231204,
5호선,하남풍산,5256,5280,20231204,
5호선,하남시청(덕풍·신장),8785,8447,20231204,
5호선,하남검단산,7121,6666,20231204,
6호선,응암,19495,19237,20231204,
6호선,역촌,4111,4898,20231204,
6호선,불광,4948,4840,20231204,
6호선,독바위,3039,3123,20231204,
6호선,연신내,2,0,20231204,
6호선,구산,8853,6597,20231204,
6호선,새절(신사),14342,13034,20231204,
6호선,증산(명지대앞),10932,10809,20231204,
6호선,디지털미디어시티,16509,17806,20231204,
6호선,월드컵경기장(성산),4437,4658,20231204,
6호선,마포구청,16364,14520,20231204,
6호선,망원,16248,17501,20231204,
6호선,합정,15329,15650,20231204,
6호선,상수,12138,14563,20231204,
6호선,광흥창(서강),10664,10320,20231204,
6호선,대흥(서강대앞),11266,11542,20231204,
6호선,공덕,21823,21375,20231204,
6호선,효창공원앞,8296,7732,20231204,
6호선,삼각지,8703,7899,20231204,
6호선,녹사평(용산구청),5513,5748,20231204,
6호선,이태원,13021,15791,20231204,
6호선,한강진,10535,12346,20231204,
6호선,버티고개,2543,2409,20231204,
6호선,약수,4367,4487,20231204,
6호선,청구,4258,4236,20231204,
6호선,신당,10531,9822,20231204,
6호선,동묘앞,8780,8863,20231204,
6호선,창신,4166,3376,20231204,
6호선,보문,9006,8008,20231204,
6호선,안암(고대병원앞),14958,14094,20231204,
6호선,고려대(종암),9888,9215,20231204,
6호선,월곡(동덕여대),13953,13243,20231204,
6호선,상월곡(한국과학기술연구원),7352,6462,20231204,
6호선,돌곶이,11374,10232,20231204,
6호선,석계,13330,13918,20231204,
6호선,태릉입구,6138,6819,20231204,
6호선,화랑대(서울여대입구),13422,10021,20231204,
6호선,봉화산(서울의료원),9658,9100,20231204,
6호선,신내,1,0,20231204,
7호선,장암,2731,1139,20231204,
7호선,도봉산,10113,11660,20231204,
7호선,수락산,13617,13469,20231204,
7호선,마들,14918,13691,20231204,
7호선,노원,22789,23913,20231204,
7호선,중계,16957,15271,20231204,
7호선,공릉(서울과학기술대),14067,13436,20231204,
7호선,태릉입구,10129,9434,20231204,
7호선,먹골,11370,11073,20231204,
7호선,중화,11981,11510,20231204,
7호선,상봉(시외버스터미널),19198,18713,20231204,
7호선,면목,17321,16784,20231204,
7호선,사가정,17958,17908,20231204,
7호선,용마산(용마폭포공원),6460,6092,20231204,
7호선,중곡,12316,11684,20231204,
7호선,군자(능동),17047,13338,20231204,
7호선,어린이대공원(세종대),18338,18213,20231204,
7호선,건대입구,15399,16002,20231204,
7호선,뚝섬유원지,8249,8009,20231204,
7호선,청담,21096,23895,20231204,
7호선,강남구청,18579,20747,20231204,
7호선,학동,26354,27681,20231204,
7호선,논현,20364,21439,20231204,
7호선,반포,7239,6982,20231204,
7호선,고속터미널,20987,16460,20231204,
7호선,내방,16702,16889,20231204,
7호선,이수,18514,17995,20231204,
7호선,남성,12958,11834,20231204,
7호선,숭실대입구(살피재),16529,15653,20231204,
7호선,상도,14084,13390,20231204,
7호선,장승배기,10409,9992,20231204,
7호선,신대방삼거리,16698,15888,20231204,
7호선,보라매,7548,7822,20231204,
7호선,신풍,12342,11633,20231204,
7호선,대림(구로구청),9237,9581,20231204,
7호선,남구로,16205,17174,20231204,
7호선,가산디지털단지,50273,49916,20231204,
7호선,철산,24663,25217,20231204,
7호선,광명사거리,22492,22314,20231204,
7호선,천왕,12909,12144,20231204,
7호선,온수(성공회대입구),11524,10592,20231204,
8호선,암사,20690,18164,20231204,
8호선,천호(풍납토성),17216,19948,20231204,
8호선,강동구청,12048,12424,20231204,
8호선,몽촌토성(평화의문),7487,7831,20231204,
8호선,잠실(송파구청),19146,22483,20231204,
8호선,석촌,8927,10430,20231204,
8호선,송파,10944,10693,20231204,
8호선,가락시장,9541,10070,20231204,
8호선,문정,24518,25052,20231204,
8호선,장지,19648,18128,20231204,
8호선,복정,10850,8737,20231204,
8호선,산성,6345,6438,20231204,
8호선,남한산성입구(성남법원.검찰청),15991,14089,20231204,
8호선,단대오거리,13543,12685,20231204,
8호선,신흥,5857,6065,20231204,
8호선,수진,5959,5468,20231204,
8호선,모란,4906,4003,20231204,
8호선,남위례,7949,7871,20231204,
9호선,개화,3100,1994,20231204,
9호선,김포공항,8137,11455,20231204,
9호선,공항시장,3203,3467,20231204,
9호선,신방화,7853,7668,20231204,
9호선,마곡나루(서울식물원),15141,14864,20231204,
9호선,양천향교,11514,11464,20231204,
9호선,가양,25164,24211,20231204,
9호선,증미,9058,8395,20231204,
9호선,등촌,13500,12794,20231204,
9호선,염창,19999,19314,20231204,
9호선,신목동,4849,4170,20231204,
9호선,선유도,10241,9524,20231204,
9호선,당산,22367,22189,20231204,
9호선,국회의사당,20359,20609,20231204,
9호선,여의도,35009,32838,20231204,
9호선,샛강,7420,7395,20231204,
9호선,노량진,30686,29880,20231204,
9호선,노들,5384,4375,20231204,
9호선,흑석(중앙대입구),11283,11448,20231204,
9호선,동작(현충원),1856,1524,20231204,
9호선,구반포,1201,1199,20231204,
9호선,신반포,4520,4378,20231204,
9호선,고속터미널,17256,24124,20231204,
9호선,사평,4698,4492,20231204,
9호선,신논현,36207,36838,20231204,
9호선2~3단계,언주,13277,13269,20231204,
9호선2~3단계,선정릉,11284,11951,20231204,
9호선2~3단계,삼성중앙,9033,9250,20231204,
9호선2~3단계,봉은사,24663,25810,20231204,
9호선2~3단계,종합운동장,5673,5691,20231204,
9호선2~3단계,삼전,8592,8148,20231204,
9호선2~3단계,석촌고분,8100,7907,20231204,
9호선2~3단계,석촌,10525,9378,20231204,
9호선2~3단계,송파나루,6414,6939,20231204,
분당선,복정,1,0,20231204,
3호선,오금,7391,6476,20231204,
1호선,서울역,64002,61361,20231204,
9호선2~3단계,한성백제,3447,3067,20231204,
9호선2~3단계,올림픽공원(한국체대),14313,15840,20231204,
9호선2~3단계,둔촌오륜,1285,1131,20231204,
9호선2~3단계,중앙보훈병원,13653,11775,20231204,
경강선,판교,6650,6631,20231204,
경강선,이매,1286,1153,20231204,
경강선,삼동,2773,2521,20231204,
경강선,경기광주,8993,8315,20231204,
경강선,초월,4017,3561,20231204,
경강선,곤지암,2626,2384,20231204,
경강선,신둔도예촌,1819,1579,20231204,
경강선,이천,3308,3535,20231204,
경강선,부발,3095,2424,20231204,
경강선,세종대왕릉,382,381,20231204,
경강선,여주,2961,2853,20231204,
경부선,서울역,11837,3848,20231204,
경부선,남영,11025,11649,20231204,
경부선,용산,47697,47866,20231204,
경부선,노량진,10776,11904,20231204,
경부선,대방,11669,12668,20231204,
경부선,영등포,46757,49002,20231204,
경부선,신도림,4089,4272,20231204,
경부선,신길,9675,8056,20231204,
경부선,구로,19273,20301,20231204,
경부선,가산디지털단지,19090,21772,20231204,
경부선,금천구청,12341,12424,20231204,
경부선,석수,10312,9174,20231204,
경부선,관악,8181,7717,20231204,
경부선,안양,26980,27127,20231204,
경부선,명학,9903,9528,20231204,
경부선,금정,31240,31883,20231204,
경부선,군포,8096,7860,20231204,
경부선,의왕,10441,10035,20231204,
경부선,성균관대,17015,16624,20231204,
경부선,화서,9452,9086,20231204,
경부선,수원,40625,44621,20231204,
경부선,독산,19937,20588,20231204,
경부선,세류,3665,3453,20231204,
경부선,병점,17393,17277,20231204,
경부선,세마,3631,3379,20231204,
경부선,오산대,4320,3827,20231204,
경부선,오산,11703,11463,20231204,
경부선,진위,2071,1644,20231204,
경부선,송탄,5080,4831,20231204,
경부선,서정리,10816,8245,20231204,
경부선,평택지제,5375,5293,20231204,
경부선,평택,15534,14791,20231204,
경부선,성환,5395,4650,20231204,
경부선,직산,1069,978,20231204,
경부선,두정,8990,8017,20231204,
경부선,천안,7555,7151,20231204,
경부선,당정,6936,6528,20231204,
경부선,서동탄,1621,1468,20231204,
경부선,광명,4477,3983,20231204,
경원선,이촌(국립중앙박물관),4257,3335,20231204,
경원선,서빙고,2361,2110,20231204,
경원선,한남,4554,4486,20231204,
경원선,옥수,92,34,20231204,
경원선,응봉,2061,1763,20231204,
경원선,왕십리(성동구청),18962,19342,20231204,
경원선,청량리(서울시립대입구),19782,20034,20231204,
경원선,외대앞,11404,10813,20231204,
경원선,신이문,9314,8444,20231204,
경원선,석계,8369,9397,20231204,
경원선,광운대,9424,8818,20231204,
경원선,월계,8068,7378,20231204,
경원선,녹천,4988,4067,20231204,
경원선,방학,10862,10542,20231204,
경원선,도봉,6217,5950,20231204,
경원선,도봉산,7513,4568,20231204,
경원선,망월사,8842,8761,20231204,
경원선,회룡,13946,13823,20231204,
경원선,의정부,19982,21049,20231204,
경원선,가능,6947,6714,20231204,
경원선,녹양,4718,4467,20231204,
경원선,양주,7953,7575,20231204,
경원선,덕계,5371,4758,20231204,
